,index,mechanism,action,drugA,drugB
94613,94613,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Naltrexone
94617,94617,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Bumetanide
94618,94618,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Ethanol
94619,94619,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Methyldopa
94621,94621,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Letrozole
94622,94622,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Fluvastatin
94624,94624,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Gemfibrozil
94625,94625,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Bezafibrate
94631,94631,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Cimetidine
94632,94632,The risk or severity of myopathy rhabdomyolysis and myoglobinuria,increase,Betamethasone,Ivermectin
94645,94645,The metabolism,increase,Albendazole,Betamethasone
94646,94646,The metabolism,increase,Doxazosin,Betamethasone
94647,94647,The metabolism,increase,Fenofibrate,Betamethasone
94650,94650,The metabolism,increase,Netupitant,Betamethasone
94660,94660,The metabolism,increase,Astemizole,Betamethasone
94662,94662,The metabolism,increase,Desipramine,Betamethasone
94668,94668,The metabolism,increase,Daunorubicin,Betamethasone
94669,94669,The metabolism,increase,Etoposide,Betamethasone
94670,94670,The metabolism,increase,Cytarabine,Betamethasone
94671,94671,The metabolism,increase,Doxorubicin,Betamethasone
94672,94672,The metabolism,increase,Docetaxel,Betamethasone
94680,94680,The metabolism,increase,Levothyroxine,Betamethasone
94681,94681,The metabolism,increase,Carbamazepine,Betamethasone
94682,94682,The metabolism,increase,Cisapride,Betamethasone
94685,94685,The metabolism,increase,Amiodarone,Betamethasone
94686,94686,The metabolism,increase,Aminophylline,Betamethasone
94688,94688,The metabolism,increase,Dasatinib,Betamethasone
94689,94689,The metabolism,increase,Dronedarone,Betamethasone
94690,94690,The metabolism,increase,Ibrutinib,Betamethasone
94697,94697,The metabolism,increase,Axitinib,Betamethasone
94698,94698,The metabolism,increase,Crizotinib,Betamethasone
94700,94700,The metabolism,increase,Dabrafenib,Betamethasone
94703,94703,The metabolism,increase,Methotrexate,Betamethasone
94705,94705,The metabolism,increase,Abiraterone,Betamethasone
94713,94713,The metabolism,increase,Neratinib,Betamethasone
94721,94721,The metabolism,increase,Buspirone,Betamethasone
94723,94723,The metabolism,increase,Flutamide,Betamethasone
94724,94724,The metabolism,increase,Dextromethorphan,Betamethasone
94725,94725,The metabolism,increase,Hydroxyzine,Betamethasone
94727,94727,The metabolism,increase,Aprepitant,Betamethasone
94731,94731,The metabolism,increase,Disulfiram,Betamethasone
94732,94732,The metabolism,increase,Diazepam,Betamethasone
94736,94736,The metabolism,increase,Metronidazole,Betamethasone
94741,94741,The metabolism,increase,Chlorpheniramine,Betamethasone
94743,94743,The metabolism,increase,Dutasteride,Betamethasone
94744,94744,The metabolism,increase,Cilostazol,Betamethasone
94745,94745,The metabolism,increase,Finasteride,Betamethasone
94752,94752,The metabolism,increase,Ambrisentan,Betamethasone
94754,94754,The metabolism,increase,Ivacaftor,Betamethasone
94755,94755,The metabolism,increase,Cannabidiol,Betamethasone
94762,94762,The metabolism,increase,Icotinib,Betamethasone
94764,94764,The metabolism,increase,Deutetrabenazine,Betamethasone
94766,94766,The metabolism,increase,Nabiximols,Betamethasone
94769,94769,The metabolism,increase,Clonidine,Betamethasone
94770,94770,The metabolism,increase,Midazolam,Betamethasone
94771,94771,The metabolism,increase,Eplerenone,Betamethasone
94772,94772,The metabolism,increase,Alfentanil,Betamethasone
94773,94773,The metabolism,increase,Fentanyl,Betamethasone
94774,94774,The metabolism,increase,Felodipine,Betamethasone
94777,94777,The metabolism,increase,Hydrocortisone,Betamethasone
94779,94779,The metabolism,increase,Chloroquine,Betamethasone
94782,94782,The metabolism,increase,Buprenorphine,Betamethasone
94783,94783,The metabolism,increase,Azelastine,Betamethasone
94784,94784,The metabolism,increase,Atorvastatin,Betamethasone
94785,94785,The metabolism,increase,Domperidone,Betamethasone
94787,94787,The metabolism,increase,Lapatinib,Betamethasone
94789,94789,The metabolism,increase,Enzalutamide,Betamethasone
94794,94794,The metabolism,increase,Lansoprazole,Betamethasone
94796,94796,The metabolism,increase,Amodiaquine,Betamethasone
94798,94798,The metabolism,increase,Nicardipine,Betamethasone
94801,94801,The metabolism,increase,Almotriptan,Betamethasone
94802,94802,The metabolism,increase,Irbesartan,Betamethasone
94805,94805,The metabolism,increase,Anastrozole,Betamethasone
94807,94807,The metabolism,increase,Eltrombopag,Betamethasone
94819,94819,The metabolism,increase,Apalutamide,Betamethasone
94824,94824,The metabolism,increase,Apomorphine,Betamethasone
94828,94828,The metabolism,increase,Fluoxetine,Betamethasone
94829,94829,The metabolism,increase,Clopidogrel,Betamethasone
94832,94832,The metabolism,increase,Imipramine,Betamethasone
94833,94833,The metabolism,increase,Cinnarizine,Betamethasone
94834,94834,The metabolism,increase,Isoflurane,Betamethasone
94837,94837,The metabolism,increase,Hydrocodone,Betamethasone
94838,94838,The metabolism,increase,Methoxyflurane,Betamethasone
94841,94841,The metabolism,increase,Bupropion,Betamethasone
94842,94842,The metabolism,increase,Halothane,Betamethasone
94844,94844,The metabolism,increase,Ethylmorphine,Betamethasone
94845,94845,The metabolism,increase,Flunitrazepam,Betamethasone
94846,94846,The metabolism,increase,Clotiazepam,Betamethasone
94847,94847,The metabolism,increase,Lorcaserin,Betamethasone
94850,94850,The metabolism,increase,Brivaracetam,Betamethasone
94851,94851,The metabolism,increase,Mianserin,Betamethasone
94857,94857,The metabolism,increase,Clomipramine,Betamethasone
94860,94860,The metabolism,increase,Capecitabine,Betamethasone
94861,94861,The metabolism,decrease,Methimazole,Betamethasone
94864,94864,The metabolism,decrease,Conivaptan,Betamethasone
94872,94872,The metabolism,decrease,Betamethasone,Midostaurin
94877,94877,The metabolism,decrease,Clarithromycin,Betamethasone
94880,94880,The metabolism,decrease,Loperamide,Betamethasone
94881,94881,The metabolism,decrease,Betamethasone,Ketoconazole
94882,94882,The metabolism,decrease,Betamethasone,Nefazodone
94883,94883,The metabolism,decrease,Betamethasone,Itraconazole
94884,94884,The metabolism,decrease,Betamethasone,Naloxone
94889,94889,The metabolism,increase,Clonazepam,Betamethasone
94894,94894,The risk or severity of hyperglycemia,increase,Betamethasone,Miglitol
94895,94895,The risk or severity of hyperglycemia,increase,Betamethasone,Chlorpropamide
94896,94896,The risk or severity of hyperglycemia,increase,Betamethasone,Nateglinide
94901,94901,The risk or severity of hyperglycemia,increase,Betamethasone,Glipizide
94902,94902,The risk or severity of hyperglycemia,increase,Betamethasone,Gliclazide
94908,94908,The risk or severity of hyperglycemia,increase,Betamethasone,Alogliptin
94909,94909,The risk or severity of hyperglycemia,increase,Betamethasone,Dapagliflozin
94912,94912,The risk or severity of hyperglycemia,increase,Betamethasone,Lobeglitazone
94915,94915,The risk or severity of hyperglycemia,increase,Betamethasone,Bromocriptine
94917,94917,The risk or severity of hyperglycemia,increase,Glyburide,Betamethasone
94918,94918,The risk or severity of hyperglycemia,increase,Linagliptin,Betamethasone
94919,94919,The risk or severity of hyperglycemia,increase,Canagliflozin,Betamethasone
94920,94920,The risk or severity of hyperglycemia,increase,Betamethasone,Ertugliflozin
94921,94921,The serum concentration,decrease,Isoniazid,Betamethasone
94922,94922,The risk or severity of adverse effects,increase,Betamethasone,Digitoxin
94926,94926,The serum concentration,decrease,Fosphenytoin,Betamethasone
94931,94931,The serum concentration,increase,Ixabepilone,Betamethasone
94933,94933,The serum concentration,increase,Everolimus,Betamethasone
94942,94942,The serum concentration,increase,Betamethasone,Estrone
94946,94946,The serum concentration,increase,Haloperidol,Betamethasone
95544,95544,The risk or severity of adverse effects,increase,Epirubicin,Chloramphenicol
95546,95546,The risk or severity of adverse effects,increase,Epirubicin,Cyclophosphamide
95549,95549,The risk or severity of adverse effects,increase,Epirubicin,Methotrexate
95550,95550,The risk or severity of adverse effects,increase,Epirubicin,Carbamazepine
95555,95555,The risk or severity of adverse effects,increase,Epirubicin,Clofarabine
95560,95560,The risk or severity of adverse effects,increase,Epirubicin,Daunorubicin
95562,95562,The risk or severity of adverse effects,increase,Epirubicin,Irinotecan
95563,95563,The risk or severity of adverse effects,increase,Epirubicin,Methimazole
95565,95565,The risk or severity of adverse effects,increase,Epirubicin,Etoposide
95566,95566,The risk or severity of adverse effects,increase,Epirubicin,Dacarbazine
95569,95569,The risk or severity of adverse effects,increase,Epirubicin,Azacitidine
95570,95570,The risk or severity of adverse effects,increase,Epirubicin,Methylprednisolone
95571,95571,The risk or severity of adverse effects,increase,Epirubicin,Cytarabine
95572,95572,The risk or severity of adverse effects,increase,Epirubicin,Azathioprine
95573,95573,The risk or severity of adverse effects,increase,Epirubicin,Doxorubicin
95574,95574,The risk or severity of adverse effects,increase,Epirubicin,Hydroxyurea
95577,95577,The risk or severity of adverse effects,increase,Epirubicin,Mercaptopurine
95579,95579,The risk or severity of adverse effects,increase,Epirubicin,Capecitabine
95582,95582,The risk or severity of adverse effects,increase,Epirubicin,Idarubicin
95583,95583,The risk or severity of adverse effects,increase,Epirubicin,Ifosfamide
95584,95584,The risk or severity of adverse effects,increase,Epirubicin,Estramustine
95585,95585,The risk or severity of adverse effects,increase,Epirubicin,Mitoxantrone
95586,95586,The risk or severity of adverse effects,increase,Epirubicin,Lomustine
95587,95587,The risk or severity of adverse effects,increase,Epirubicin,Budesonide
95589,95589,The risk or severity of adverse effects,increase,Epirubicin,Dexamethasone
95590,95590,The risk or severity of adverse effects,increase,Epirubicin,Docetaxel
95591,95591,The risk or severity of adverse effects,increase,Epirubicin,Decitabine
95592,95592,The risk or severity of adverse effects,increase,Epirubicin,Nelarabine
95595,95595,The risk or severity of adverse effects,increase,Epirubicin,Colchicine
95597,95597,The risk or severity of adverse effects,increase,Epirubicin,Everolimus
95599,95599,The risk or severity of adverse effects,increase,Epirubicin,Ixabepilone
95602,95602,The risk or severity of adverse effects,increase,Epirubicin,Apremilast
95605,95605,The risk or severity of adverse effects,increase,Epirubicin,Cabazitaxel
95612,95612,The risk or severity of adverse effects,increase,Epirubicin,Ibrutinib
95616,95616,The risk or severity of adverse effects,increase,Epirubicin,Baricitinib
95626,95626,The risk or severity of adverse effects,increase,Epirubicin,Fluorouracil
95629,95629,The risk or severity of adverse effects,increase,Epirubicin,Dasatinib
95631,95631,The risk or severity of adverse effects,increase,Epirubicin,Hydroxychloroquine
95637,95637,The serum concentration,increase,Epirubicin,Cimetidine
95639,95639,The risk or severity of adverse effects,increase,Epirubicin,Leflunomide
95643,95643,The risk or severity of bleeding,increase,Clopidogrel,Epirubicin
95655,95655,The risk or severity of bleeding,increase,Epirubicin,Cilostazol
95659,95659,The risk or severity of bleeding,increase,Acenocoumarol,Epirubicin
95668,95668,The metabolism,decrease,Ketoconazole,Epirubicin
95669,95669,The metabolism,decrease,Epirubicin,Flunitrazepam
95671,95671,The metabolism,decrease,Epirubicin,Eltrombopag
95677,95677,The risk or severity of adverse effects,increase,Chloramphenicol,Cyclophosphamide
95678,95678,The risk or severity of adverse effects,increase,Chloramphenicol,Fluorouracil
95683,95683,The risk or severity of adverse effects,increase,Chloramphenicol,Clofarabine
95689,95689,The risk or severity of adverse effects,increase,Chloramphenicol,Irinotecan
95690,95690,The risk or severity of adverse effects,increase,Chloramphenicol,Methimazole
95692,95692,The risk or severity of adverse effects,increase,Chloramphenicol,Dacarbazine
95694,95694,The risk or severity of adverse effects,increase,Chloramphenicol,Azacitidine
95695,95695,The risk or severity of adverse effects,increase,Chloramphenicol,Methylprednisolone
95696,95696,The risk or severity of adverse effects,increase,Chloramphenicol,Azathioprine
95697,95697,The risk or severity of adverse effects,increase,Chloramphenicol,Hydroxyurea
95700,95700,The risk or severity of adverse effects,increase,Chloramphenicol,Mercaptopurine
95702,95702,The risk or severity of adverse effects,increase,Chloramphenicol,Capecitabine
95705,95705,The risk or severity of adverse effects,increase,Chloramphenicol,Idarubicin
95706,95706,The risk or severity of adverse effects,increase,Chloramphenicol,Estramustine
95707,95707,The risk or severity of adverse effects,increase,Chloramphenicol,Mitoxantrone
